province,city,confirmed,suspected,cured,dead
江苏省,待明确地区,0,0,5,0
上海市,外地来沪人员,84,0,6,1
上海市,未知地区,0,0,6,0
北京市,外地来京人员,20,0,2,0
北京市,待明确地区,0,0,19,1
天津市,外地来津人员,6,0,0,0
