province,confirmed,suspected,cured,dead,lon,lat
湖北省,9074,0,215,294,112.32764600016,30.93269499997
浙江省,661,0,23,0,119.62025900015,29.28443299978
广东省,604,0,14,0,113.48784200041,24.1041690003
河南省,493,0,4,2,113.30208600027,33.76493499995
湖南省,463,0,8,0,111.70914900003,27.56018800028
安徽省,340,0,5,0,117.27573099999,32.44844900042
江西省,333,0,10,0,115.58722600018,27.86517200019
重庆市,262,0,3,1,106.54709500033,29.56803600026
江苏省,236,0,6,0,118.96896900042,33.60216000018
四川省,231,0,3,1,102.54019600044,31.16666400034
山东省,225,0,5,0,118.09365999961,35.94797300025
上海市,177,0,10,1,121.47016100003,31.2326239997
北京市,168,0,9,1,116.40100299989,39.90311700025
福建省,144,0,0,0,117.54696300014,25.80374299974
广西壮族自治区,111,0,2,0,108.58787800017,23.92980899959
河北省,104,1,0,1,115.43978000045,38.56895400033
陕西省,101,0,0,0,107.9300910003,33.4047909996
黑龙江省,95,0,4,2,126.76271400035,47.10851800021
云南省,93,0,2,0,100.56874199974,25.06511000023
辽宁省,64,0,1,0,123.39010599959,41.2222470003
海南省,63,0,1,1,109.6044420003,19.1647780003
山西省,56,0,1,0,112.1427150003,37.39917399968
天津市,45,0,0,0,117.19429500011,39.08263399976
甘肃省,40,0,0,0,103.77111200012,35.16180300021
贵州省,38,0,2,0,106.1475319997,26.13430400013
宁夏回族自治区,28,0,0,0,106.04266200015,37.40179900022
内蒙古自治区,23,0,1,0,111.230208,42.01315400026
吉林省,22,0,7,0,126.16516500036,43.38060199998
新疆维吾尔自治区,21,0,0,0,85.51027199985,40.84152000045
香港,14,0,0,0,114.17681000018,22.30769600017
台湾,10,0,0,0,120.87654999998,23.71200800017
青海省,9,0,0,0,96.06929099988,36.1078179998
澳门,7,0,0,0,113.53809500028,22.18978600002
西藏自治区,1,0,0,0,87.83856400043,31.61679199995
