province,confirmed,suspected,cured,dead,lon,lat
湖北省,29631,0,1828,871,112.32764600016,30.93269499997
广东省,1159,0,164,1,113.48784200041,24.1041690003
浙江省,1092,0,239,0,119.62025900015,29.28443299978
河南省,1073,0,187,6,113.30208600027,33.76493499995
湖南省,879,0,201,1,111.70914900003,27.56018800028
安徽省,830,0,88,3,117.27573099999,32.44844900042
江西省,771,0,102,1,115.58722600018,27.86517200019
江苏省,492,0,80,0,118.96896900042,33.60216000018
重庆市,473,0,66,2,106.54709500033,29.56803600026
山东省,466,0,66,1,118.09365999961,35.94797300025
四川省,405,0,80,1,102.54019600044,31.16666400034
北京市,337,0,44,2,116.40100299989,39.90311700025
黑龙江省,331,0,30,7,126.76271400035,47.10851800021
上海市,299,0,48,1,121.47016100003,31.2326239997
福建省,261,0,36,0,117.54696300014,25.80374299974
河北省,218,0,41,2,115.43978000045,38.56895400033
陕西省,213,0,27,0,107.9300910003,33.4047909996
广西壮族自治区,210,0,18,1,108.58787800017,23.92980899959
云南省,149,0,19,0,100.56874199974,25.06511000023
海南省,138,0,19,3,109.6044420003,19.1647780003
山西省,119,0,25,0,112.1427150003,37.39917399968
贵州省,109,0,10,1,106.1475319997,26.13430400013
辽宁省,108,0,12,0,123.39010599959,41.2222470003
天津市,94,0,8,1,117.19429500011,39.08263399976
甘肃省,83,0,17,2,103.77111200012,35.16180300021
吉林省,80,0,12,1,126.16516500036,43.38060199998
内蒙古自治区,58,0,5,0,111.230208,42.01315400026
宁夏回族自治区,49,0,13,0,106.04266200015,37.40179900022
新疆维吾尔自治区,49,0,0,0,85.51027199985,40.84152000045
香港,38,0,0,1,114.17681000018,22.30769600017
台湾,18,0,1,0,120.87654999998,23.71200800017
青海省,18,0,3,0,96.06929099988,36.1078179998
澳门,10,0,1,0,113.53809500028,22.18978600002
西藏自治区,1,0,0,0,87.83856400043,31.61679199995
