province,city,confirmed,suspected,cured,dead
河南省,待明确地区,0,0,15,0
北京市,外地来京人员,21,0,2,0
北京市,未明确地区,0,0,27,1
上海市,外地来沪人员,89,0,14,1
云南省,未知地区,0,0,1,0
海南省,未知地区,6,0,0,0
天津市,外地来津人员,6,0,0,0
天津市,待明确,0,0,1,0
