province,city,confirmed,suspected,cured,dead
浙江省,待明确地区,0,0,4,0
河南省,未知地区,0,0,27,1
北京市,外地来京人员,24,0,2,0
北京市,待明确地区,0,0,29,1
上海市,外地来沪人员,92,0,14,1
福建省,待明确地区,0,0,1,0
广西壮族自治区,待明确地区,0,0,3,0
云南省,待明确地区,0,0,1,0
天津市,外地来津人员,6,0,0,0
天津市,待明确地区,0,0,1,0
