province,city,confirmed,suspected,cured,dead
广东省,未知,0,0,9,0
河南省,未知地区,0,0,15,2
四川省,待明确,0,0,8,0
北京市,外地来京人员,25,0,2,0
北京市,待明确地区,0,0,30,2
黑龙江省,待明确地区,1,0,0,0
上海市,外地来沪人员,94,0,14,1
上海市,未知地区,3,0,5,0
广西壮族自治区,未知,0,0,3,0
海南省,待明确地区,1,0,1,0
天津市,外地来津人员,6,0,0,0
