province,confirmed,suspected,cured,dead,lon,lat
湖北省,24953,0,1115,699,112.32764600016,30.93269499997
广东省,1075,0,97,1,113.48784200041,24.1041690003
浙江省,1048,0,127,0,119.62025900015,29.28443299978
河南省,981,0,97,4,113.30208600027,33.76493499995
湖南省,803,0,119,0,111.70914900003,27.56018800028
安徽省,733,0,47,0,117.27573099999,32.44844900042
江西省,698,0,55,0,115.58722600018,27.86517200019
江苏省,439,0,43,0,118.96896900042,33.60216000018
重庆市,426,0,31,2,106.54709500033,29.56803600026
山东省,407,0,38,0,118.09365999961,35.94797300025
四川省,363,0,50,1,102.54019600044,31.16666400034
北京市,315,0,34,2,116.40100299989,39.90311700025
黑龙江省,295,0,12,5,126.76271400035,47.10851800021
上海市,281,0,30,1,121.47016100003,31.2326239997
福建省,239,0,20,0,117.54696300014,25.80374299974
河北省,195,0,25,1,115.43978000045,38.56895400033
陕西省,195,0,17,0,107.9300910003,33.4047909996
广西壮族自治区,183,0,17,0,108.58787800017,23.92980899959
云南省,138,0,12,0,100.56874199974,25.06511000023
海南省,124,0,11,2,109.6044420003,19.1647780003
山西省,104,0,15,0,112.1427150003,37.39917399968
辽宁省,99,0,7,0,123.39010599959,41.2222470003
贵州省,89,0,6,1,106.1475319997,26.13430400013
天津市,81,0,2,1,117.19429500011,39.08263399976
甘肃省,71,0,9,1,103.77111200012,35.16180300021
吉林省,69,0,4,1,126.16516500036,43.38060199998
内蒙古自治区,50,0,5,0,111.230208,42.01315400026
宁夏回族自治区,45,0,5,0,106.04266200015,37.40179900022
新疆维吾尔自治区,39,0,0,0,85.51027199985,40.84152000045
香港,26,0,0,1,114.17681000018,22.30769600017
青海省,18,0,3,0,96.06929099988,36.1078179998
台湾,16,0,1,0,120.87654999998,23.71200800017
澳门,10,0,1,0,113.53809500028,22.18978600002
西藏自治区,1,0,0,0,87.83856400043,31.61679199995
